name,nameEN,city,rate,address,phone,time,quality_rate,service_rate,w_to_p_ratio,decor_rate,features
دان تان پلنت,coffeeshops,tehran,8.7,جردن،بعدازچهارراه اسفندیار،نبش کوجه ایرج،پلاک 117,02122014969,8-23:45,4, 4,4,4,"['صبحانه', 'اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
کولاک,coffeeshops,tehran,8.3,يوسف آباد،خيابان شهيد جهان آرا،نبش كوچه ٤٣,02188610384,11-23,5, 4,3,5,['دستگاه کارت خوان']
ساکورا (فود مارکت آوا ستنر),coffeeshops,tehran,8.1,خیابان پاسداران، خیابان موحد دانش (اقدسیه)، جنب سفارت چین,02126122426,10-23:30,5, 4,3,4,"['پارکینگ', 'دستگاه کارت خوان']"
ربلان,coffeeshops,tehran,8.4,تجریش، ابتدای خیابان جعفری، مرکز خرید تندیس،طبقه7,02122734252,12-24,4, 4,4,4,"['پارکینگ', 'قلیان', 'اینترنت رایگان', 'دستگاه کارت خوان']"
موازی,coffeeshops,tehran,7.1,میدان انقلاب،خیابان کارگر شمالی،پایین تر از نصرت،نبش کوچه جعفرزادگان،پلاک10/78،طبقه2,02166577028,9-22:30,4, 4,4,4,"['صبحانه', 'سیگار', 'قلیان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
ژیگان,coffeeshops,tehran,7.3,انقلاب،کارگر شمالی،بالاتر از نصرت،پلاک ۱۱۴۶,02166569890,12-24,4, 5,5,4,"['اینترنت رایگان', 'دستگاه کارت خوان']"
کاکتا,coffeeshops,tehran,5.9,جنت آباد جنوبی، کوچه آذرشب، پلاک ۳۸/۸,09388160909,11-23,5, 5,5,4,"['اینترنت رایگان', 'دستگاه کارت خوان']"
مون لانژ,coffeeshops,tehran,7.5,زعفرانیه،مقدس اردبیلی،بین کیهان و پسیان،پلاک25 طبقه اول,02122183007,11-24,4, 4,4,4,"['موسیقی زنده', 'پارکینگ', 'اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
چارگوش,coffeeshops,tehran,3.9,شهران، خیابان وسک، بالاتر از کوچه دوم,02144331571,9-23,2, 2,2,2,"['صبحانه', 'دستگاه کارت خوان']"
بیسکاتی,coffeeshops,tehran,7.3,خيابان بهشتي،تقاطع قائم مقام،پلاک 414,02188700161,6:30-22,4, 4,4,4,"['صبحانه', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
اچ اند اچ,coffeeshops,tehran,8.8,گيشا، ابتداي خيابان بلوچستان، پلاك ٦,02188263242,12-24,4, 4,4,4,"['اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
فودمارکت آوا سنتر,coffeeshops,tehran,8.3,خیابان پاسداران، خیابان موحد دانش (اقدسیه)، جنب سفارت چین,02126122426,10-23:30,4, 4,4,4,"['پارکینگ', 'دستگاه کارت خوان']"
مجموعه نگیما,coffeeshops,tehran,8.8,قیطریه،روبروی پارک قیطریه،خیابان خراسانی،پلاک13/2,02122241931,8-24,4, 4,4,4,"['صبحانه', 'سیگار', 'قلیان', 'اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
ت (شریعتی),coffeeshops,tehran,7.5,شریعتی، ابتدای قبا، شماره 4,02122841468,11-23,3, 4,3,4,"['صبحانه', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
حصار (مهر نیکتا),coffeeshops,tehran,8.1,خیابان ولیعصر،روبه روی پارک ملت،نبش کوچه انصاری،برج ملت ، طبقه همکف ، واحد ۲۸,02122026239,9-23,1, 1,1,1,"['صبحانه', 'اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
اوشن,coffeeshops,tehran,7.3,گیشا خیابان علیالی غربی پاساژ ستاره نصر طبقه اول پلاک 27,02188231684,12:30-22,3, 4,4,3,"['صبحانه', 'سیگار', 'اینترنت رایگان', 'دستگاه کارت خوان']"
ایران نوتلا,coffeeshops,tehran,7.4,آجودانیه،مجتمع تفریحی عرش آجودانیه،طبقه دوم،شماره 159,02126455184,12-23,3, 3,3,3,"['پارکینگ', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
مازو پلاس,coffeeshops,tehran,8.1,بلوار فردوس شرق،پاساژ آیریک سنتر،طبقه دوم,02144976088,10-23,4, 4,4,3,"['صبحانه', 'سیگار', 'قلیان', 'اینترنت رایگان', 'دستگاه کارت خوان']"
قصاب (تجریش),coffeeshops,tehran,6.5,میدان تجریش، تقاطع خیابان دربند و فنا خسرو، پلاک۶۷,02123331111,11:30-23:30,3, 4,4,2,"['صبحانه', 'قلیان', 'اینترنت رایگان', 'دستگاه کارت خوان']"
نخلستان,coffeeshops,tehran,7.6,خیابان طالقانی،روبروی سینما فلسطین،خیابان برادران مظفر شمالی، پلاک 98,02142887104,8-22,4, 4,4,4,"['صبحانه', 'موسیقی زنده', 'اینترنت رایگان', 'دستگاه کارت خوان']"
اپیکور,coffeeshops,tehran,6.1,شهرک غرب، فاز یک، خیابان مهستان، نبش کوچه دوم,02186128863,10-23,4, 4,5,3,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
فانوس (طرشت),coffeeshops,tehran,7.7,جنب ایستگاه مترو طرشت- کوچه رییسی- پلاک ۳,02144243320,7-24,4, 5,4,5,"['صبحانه', 'دستگاه کارت خوان']"
باژوران,coffeeshops,tehran,5.1,انتهای اتوبان ارتش شرق، شهرک لاله، بعد از میوه و تره بار,02126431148,12-24,2, 2,2,2,"['موسیقی زنده', 'سیگار', 'قلیان', 'اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
سین کافه (خیابان نیلوفر),coffeeshops,tehran,8.3,خیابان خرمشهر  ، خیابان عشقیار شماره ۴۶,02188757329,8-24,4, 4,4,4,"['صبحانه', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
کارزین (پاسداران),coffeeshops,tehran,7.1,پاسداران، گلستان یکم، نبش پایدار فرد,02122777960,8-23,4, 4,4,3,"['صبحانه', 'دستگاه کارت خوان']"
آیس پک,coffeeshops,tehran,6.9,خیابان پیروزی ایستگاه صد دستگاه پلاک ۴۸۰,02133333704,12-23,3, 3,3,3,"['صبحانه', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
ملس,coffeeshops,tehran,5.3,شریعتی،نرسیده یخچال،فود کورت قلهک،غرفه13,02122605068,10:30-23:30,5, 5,5,5,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
گلاریس,coffeeshops,tehran,7.1,پاسداران ، خيابان بوستان پنجم ، تقاطع پايدار فرد پلاك,02122579051,10-24,4, 4,3,4,"['قلیان', 'دستگاه کارت خوان']"
باریزان,coffeeshops,tehran,7.4,گلبرگ شرقی،خیابان مصطفوی،پلاک۳۰,02177974120,7-24,3, 3,3,4,"['صبحانه', 'موسیقی زنده', 'سیگار', 'اینترنت رایگان', 'دستگاه کارت خوان']"
گل یخ (پیروزی),coffeeshops,tehran,8.8,خ پیروزی ، صد دستگاه ، پ 466,02133350935,11-23,4, 4,4,4,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
کرپ (راه چوبی),coffeeshops,tehran,6.8,اتوبان حقانی، پارک آب و آتش، مجموعه راه چوبی,02188194514,8-24,4, 3,4,3,"['صبحانه', 'پارکینگ', 'اینترنت رایگان', 'دستگاه کارت خوان']"
جلاتو پلاس (فودکورت ارگ),coffeeshops,tehran,7,میدان تجریش،خیابان سعدآباد،مجتمع ارگ،فودکورت ارگ,09123177560,11-24,4, 4,4,4,"['پارکینگ', 'دستگاه کارت خوان']"
روژانو,coffeeshops,tehran,8.5,خيابان شهيد بهشتى(عباس آباد) ، بعد از تقاطع سهروردى ، ابتداى خيابان كاووسى فر,02188548644,7:30-24,4, 5,4,4,"['صبحانه', 'موسیقی زنده', 'سیگار', 'اینترنت رایگان', 'دستگاه کارت خوان']"
امضا (بام لند),coffeeshops,tehran,7.4,بزرگراه همت غرب ، دریاچه چیتگر ، میدان موج ، مجتمع بام لند ، بلوک C3 طبقه ی دوم,02140447298,9-12,4, 3,4,3,"['صبحانه', 'پارکینگ', 'قلیان', 'چشم انداز', 'دستگاه کارت خوان']"
بالا,coffeeshops,tehran,8.3,خیابان میرازی شیرازی،نبش کوچه یازدهم،خانه موسیقی بتهوون،پلاک ۶۹،طبقه بالا,02188813578,8-23,5, 5,5,4,"['صبحانه', 'موسیقی زنده', 'سیگار', 'اینترنت رایگان', 'چشم انداز', 'دستگاه کارت خوان']"
تومو (سام سنتر),coffeeshops,tehran,8.1,خیابان فیاضی (فرشته ) ، مرکز خرید سام سنتر ، طبقه اول,02122028080,10-24,4, 4,4,4,"['پارکینگ', 'دستگاه کارت خوان']"
ویکولو (بام لند ),coffeeshops,tehran,7.2,بزرگراه همت غرب ، دریاچه چیتگر ، مجتمع بام لند ، بلوک A,02140447261,10-23,4, 3,4,3,"['صبحانه', 'پارکینگ', 'سیگار', 'فضای باز', 'اینترنت رایگان', 'دستگاه کارت خوان']"
کتاب دارالخلافه,coffeeshops,tehran,9.3,خیابان امام خمینی،خیابان شیخ هادی،کوچه مظفری خواه,02166729406,8:30-23,4, 4,5,4,"['صبحانه', 'چشم انداز', 'دستگاه کارت خوان']"
ویونا ( فودکورت ارگ),coffeeshops,tehran,8.9,ويونا مجتمع تجاري ارگ,02122396288,8-23,4, 4,4,4,"['صبحانه', 'پارکینگ', 'دستگاه کارت خوان']"
قمر,coffeeshops,tehran,8.1,انتهای اتوبان همت،اتوبان شهید خرازی به سمت دریاچه چیتگر،میدان موج،ورودی مرکز بام لند A,02140447292,11-24,4, 4,4,4,"['موسیقی زنده', 'پارکینگ', 'سیگار', 'قلیان', 'اینترنت رایگان', 'دستگاه کارت خوان']"
ورف,coffeeshops,tehran,5.2,همت غرب ،دریاچه چیتگر،باملند،بلوک L4,02140447314,8:30-24,2, 2,3,2,"['صبحانه', 'موسیقی زنده', 'دستگاه کارت خوان']"
روژ,coffeeshops,tehran,6.8,همت غرب،دریاچه چیتگر،باملند،بلوک B،طبقه دوم,02140447953,11-24,3, 3,4,3,"['صبحانه', 'موسیقی زنده', 'پارکینگ', 'سیگار', 'قلیان', 'اینترنت رایگان', 'دستگاه کارت خوان']"
هفت چشمه,coffeeshops,tehran,8.4,میدان گلها،ابتدای گمنام،پلاک ۵۹,02188961610,8-24,4, 4,4,4,['دستگاه کارت خوان']
مهربان,coffeeshops,tehran,6.6,خیابان انقلاب، نبش خیابان نامجو (گرگان)، مجتمع فرهنگی امام رضا(ع)، پلکان جنوبی,02177639766,10-22:30,4, 4,4,4,"['صبحانه', 'موسیقی زنده', 'اینترنت رایگان', 'دستگاه کارت خوان']"
باپوک,coffeeshops,tehran,8.1,قیطریه،خیابان کریمی(بوعلی)،پلاک ۶۰,02122240792,8-24,0, 0,0,0,['دستگاه کارت خوان']
ویونا (سعادت آباد),coffeeshops,tehran,8.8,انتهای بلوار سعادت آباد، بسمت کوی فراز، نبش چهارراه بهزاد، مجتمع تندیس,02126766321,8-24,4, 4,4,4,"['صبحانه', 'موسیقی زنده', 'پارکینگ', 'سیگار', 'فضای باز', 'اینترنت رایگان', 'دستگاه کارت خوان']"
تهران بین,coffeeshops,tehran,8,سعادت آباد،خیابان سرو غربی،خیابان ریاضی بخشایش،کوچه هفدهم پنت هاوس برج عرفان طبقه ۹,02122131981,10-23,4, 4,4,3,"['صبحانه', 'پارکینگ', 'سیگار', 'اینترنت رایگان', 'دستگاه کارت خوان']"
کلانا,coffeeshops,tehran,7.6,خیابان کارگر شمالی، نبش نصرت، پلاک ۱۵۲۵,02188971268,7-22:30,4, 4,4,4,"['اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
چنس,coffeeshops,tehran,6.8,میدان هروی،خیابان موسوی شرقی،به سمت شمس آباد،جنب بانک رفاه،طبقه اول,02122931978,9-23:30,4, 3,4,4,['دستگاه کارت خوان']
حس خوب,coffeeshops,tehran,7.6,بالاترازمیدان هفت حوض،کوچه مهرانپور،پاساژ بهمن طبقه اول,09358247204,8:30-24,5, 5,5,5,"['صبحانه', 'پارکینگ', 'اینترنت رایگان', 'دستگاه کارت خوان']"
مزه,coffeeshops,tehran,7.8,تجریش،پاساژ قائم،طبقه هنرمندان,02122755268,11-22,5, 5,3,5,['دستگاه کارت خوان']
آبمیوه بستنی شاهو,coffeeshops,tehran,5.3,شیراز جنوبی، رو به روی بوستان اسدآبادی، پلاک 2,02188615822,12-23,3, 2,2,2,['دستگاه کارت خوان']
رویال لانژ,coffeeshops,tehran,5.3,ﺑﺰرﮔﺮاه ﺷﻬﯿﺪ ﻫﻤﺖ، ﺧﺮوﺟﯽ ﺑﻠﻮار ﮐﺎﺷﺎن، میدان موج، خیابان موج بلوار صدف، مرکز تجاری تفریحی بام لند,09121693209,13-15,2, 2,4,2,"['صبحانه', 'موسیقی زنده', 'پارکینگ', 'سیگار', 'قلیان', 'اینترنت رایگان', 'دستگاه کارت خوان']"
چراغان,coffeeshops,tehran,7.5,دریاچه چیتگر، بام لند،بلوک vip,02140447394,12-24,3, 3,4,3,"['پارکینگ', 'اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
ایلی (باملند),coffeeshops,tehran,7.6,مجموعه تجاری باملند بلوک آ,02140447994,11-23,3, 4,4,3,"['صبحانه', 'پارکینگ', 'چشم انداز', 'دستگاه کارت خوان']"
لیبرو (پالادیوم),coffeeshops,tehran,7.4,زعفرانیه،مقدس اردبیلی،نرسیده به میدان الف،مرکز خرید پالادیوم،طبقه ۳,02122660401,9-23,4, 3,4,4,"['صبحانه', 'سیگار', 'فضای باز', 'اینترنت رایگان', 'چشم انداز', 'دستگاه کارت خوان']"
دانتیسم,coffeeshops,tehran,7,میدان المپیک،انتهای خیابان هوانیرو،میدان صدف،انتهای خیابان صدف،پلاک3,09109432487,9-21,4, 4,4,4,"['صبحانه', 'موسیقی زنده', 'اینترنت رایگان', 'دستگاه کارت خوان']"
زوفا,coffeeshops,tehran,7,اتوبان حقانی، بعد از کتابخانه ملی جنب روگذر شهید همت غرب هتل بزرگ ارم,02122266644,11-24,5, 5,5,5,"['سالاد بار', 'قلیان', 'چشم انداز', 'دستگاه کارت خوان']"
بونلی,coffeeshops,tehran,8.8,مرزداران،بين سپهر وآريا فر،ساختمان ديپلمات,02144266030,11:30-23:30,4, 5,4,4,"['اینترنت رایگان', 'دستگاه کارت خوان']"
دلنوازان (سهروردی),coffeeshops,tehran,6.3,خیابان سهروردی شمالی، مابین عباس آباد و هویزه پلاک 553,02186031908,11-23,3, 4,4,4,"['صبحانه', 'موسیقی زنده', 'قلیان', 'اینترنت رایگان', 'دستگاه کارت خوان']"
موروکو,coffeeshops,tehran,8.4,یادگار جنوب، قبل از خروجی فرحزاد، ایثارگران شمالی، خیابان امامزاده، البرز 6، پلاک 13,02122148851,11-23,4, 4,4,4,"['سیگار', 'قلیان', 'اینترنت رایگان', 'دستگاه کارت خوان']"
شاندیز اعیانی,coffeeshops,tehran,6.2,دارآباد،خیابان پور ابتهاج شرقی،انتهای کوچه نارنج,02126127835,11-24,2, 2,2,4,"['موسیقی زنده', 'فضای باز', 'چشم انداز', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
میک مک,coffeeshops,tehran,6.9,مجيديه شمالي،خيابان استادحسن بنا،خيابان جعفري پلاك ٦٦,02122534920,11-24,4, 4,4,4,['دستگاه کارت خوان']
کرم (فودکورت رویال تراس),coffeeshops,tehran,7.7,بلوار سعادت آباد، تقاطع بلوار دریا مجتمع تجاری اداری رویال,02188564945,11-24,4, 3,4,3,"['پارکینگ', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
پیچ شمران,coffeeshops,tehran,9.1,خیابان انقلاب، دروازه دولت، نبش خیابان شریعتی,,11-23,5, 4,2,5,['دستگاه کارت خوان']
منصور (تهرانپارس),coffeeshops,tehran,7.2,تهرانپارس، فلکه اول، ضلع شمال شرقی، پلاک 39,02177878247,10-24,4, 4,3,4,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
شیرپسته مملی,coffeeshops,tehran,7.9,خیابان باهنر روبه روی خیابان منایی,,10-24,4, 4,3,3,['دستگاه کارت خوان']
پالیزی,coffeeshops,tehran,8.7,سهروردی شمالی، میدان قندی، پالیزی، پلاک ۷۲۷,02188763260,8-24,4, 3,3,4,['دستگاه کارت خوان']
بابا رحیم,coffeeshops,tehran,9,خیابان ستارخان نرسیده به خیابان باقرخان نبش کوچه شادی پلاک 105,02166940068,9-23,4, 4,3,4,"['فضای باز', 'دستگاه کارت خوان']"
ویش,coffeeshops,tehran,8.8,میدان انقلاب،خیابان انقلاب،خیابان قدس،نبش خیابان بزرگمهر،حیاط شهرکتاب دانشگاه,9201365715,10-23:30,4, 4,4,4,"['صبحانه', 'موسیقی زنده', 'سیگار', 'فضای باز', 'اینترنت رایگان', 'دستگاه کارت خوان']"
گالری ایرانشهر,coffeeshops,tehran,6.7,خیابان ایرانشهر، پارک هنرمندان، ضلع شرقی خانه هنرمندان ایران، تماشاخانه ایرانشهر، طبقه دوم,02188349365,10-23,4, 4,4,4,"['موسیقی زنده', 'سیگار', 'فضای باز', 'اینترنت رایگان', 'دستگاه کارت خوان']"
فرهنگ و هنر مانا,coffeeshops,tehran,9.1,بلوار کشاورز، خیابان وصال، کوچه شاهد، پلاک 6,02188996273,8:30-22,4, 4,5,4,"['موسیقی زنده', 'سیگار', 'فضای باز', 'اینترنت رایگان', 'دستگاه کارت خوان']"
رایدر,coffeeshops,tehran,7.4,شهرک غرب،خیابان مهستان،خیابان ایران زمین، مرکز تجاری مهستان،داخل پاساژ طبقه همکف,02186128421,11:30-23:30,4, 4,5,4,"['اینترنت رایگان', 'دستگاه کارت خوان']"
سرای علا,coffeeshops,tehran,8.4,فرمانيه، روبروى بيمارستان فرمانيه، مركز خريد بام برند سنتر، طبقه دوم,02140226080,12-24,4, 4,4,3,"['پارکینگ', 'فضای باز', 'اینترنت رایگان', 'دستگاه کارت خوان']"
75,coffeeshops,tehran,6,میدان محسنی،خیابان شاه نظری، کوچه دوم، پاركينگ مجتمع راز,02122256876,9-23,3, 2,2,2,"['صبحانه', 'موسیقی زنده', 'پارکینگ', 'سیگار', 'اینترنت رایگان', 'دستگاه کارت خوان']"
کلنل,coffeeshops,tehran,7.9,خیابان شریعتی ، نرسیده به پل سید خندان ، کوچه مهاجر,9197175267,7:30-23:30,4, 4,4,4,"['صبحانه', 'سیگار', 'دستگاه کارت خوان']"
گودو یاس,coffeeshops,tehran,8.1,خیابان نجات الهی، خیابان محمدی، بن بست گل یاس,02188942573,8:30-24,4, 3,5,3,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
نقش وصال,coffeeshops,tehran,7.7,بلوار کشاورز، خیابان وصال شیرازی، روبروی بیمارستان آریا، نبش کوچه شاهد، پ ۷۰۷۰,02188963578,8:30-23,4, 4,4,3,"['صبحانه', 'اینترنت رایگان', 'دستگاه کارت خوان']"
سیرو,coffeeshops,tehran,7.2,خيابان سهروردي،خيابان خرمشهر،خيابان قنبرزاده،كوچه ١٦ام,02188501510,12-24,4, 4,4,3,"['موسیقی زنده', 'سیگار', 'قلیان', 'اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
نام (ولی عصر),coffeeshops,tehran,8.4,شعبه ولی‌عصر:خ ولی‌عصر بالاتر از چهار‌راه زرتشت،نبش ک جاوید پ۱۸۵۷,02188922948,7:30-23:30,4, 4,4,4,"['اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
سینسیر,coffeeshops,tehran,7.7,الهیه،خیابان آقابزرگی،خیابان صحرا،خیابان پارسا،برج افرا,02122391706,11-23:30,4, 5,5,4,"['پارکینگ', 'اینترنت رایگان', 'دستگاه کارت خوان']"
خانه نان,coffeeshops,tehran,7.4,پل پارک وی،ابتدای کوچه نوری,02122667752,6:30-22:30,3, 3,4,4,"['صبحانه', 'موسیقی زنده', 'اینترنت رایگان', 'دستگاه کارت خوان']"
فرین,coffeeshops,tehran,7.3,سعادت آباد ، میدان کاج ، ابتدای خیابان نهم,02122139056,7-24,3, 4,4,3,"['صبحانه', 'پارکینگ', 'اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
سیت اند گو,coffeeshops,tehran,6.2,خیابان دزاشیب، خیابان علیرضا افشار، پلاک ۱۰,02122397828,9-24,4, 3,4,3,"['صبحانه', 'موسیقی زنده', 'سیگار', 'اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
موگه,coffeeshops,tehran,7,شهر ری . سه راه ورامین . نرسیده به میدان معلم . پاساژ الماس ری . ط اول واحد 102,09306104440,10-22,5, 5,5,5,"['سیگار', 'قلیان', 'اینترنت رایگان', 'دستگاه کارت خوان']"
کوبار,coffeeshops,tehran,4.4,اشرفی اصفهانی جنوب به شمال، نرسیده به پل همت، خیابان قموشی، پلاک 57,09355444943,8/23,0, 0,0,0,"['صبحانه', 'قلیان', 'دستگاه کارت خوان']"
رئیس (پالادیوم),coffeeshops,tehran,8.5,زعفرانیه،خیابان مقدس اردبیلی،مرکز خرید پالادیوم،طبقهGB,02122663678,8-23:30,4, 4,4,4,"['صبحانه', 'پارکینگ', 'اینترنت رایگان', 'دستگاه کارت خوان']"
سکند کاپ,coffeeshops,tehran,7.4,ولنجک، انتهای خیابان سیزدهم شرقی ، پلاک 5 ، طبقه اول ، واحد 109,02126804403,8:30-23,4, 4,5,3,"['صبحانه', 'موسیقی زنده', 'پارکینگ', 'سیگار', 'اینترنت رایگان', 'دستگاه کارت خوان']"
ویست موزیک,coffeeshops,tehran,8.7,ابتدای رسالت شرق،نرسیده به خیابان دبستان (کابلی) ،کوچه باقری ، پلاک 1 ، طبقه اول,02188456165,9-24,4, 4,5,4,"['صبحانه', 'موسیقی زنده', 'سیگار', 'قلیان', 'اینترنت رایگان', 'دستگاه کارت خوان']"
سان استار,coffeeshops,tehran,7,بالاتر از چهار راه پاسداران،نبش بهستان 4 چهارم,02122222,11-23:30,4, 4,3,4,['دستگاه کارت خوان']
قلیان سرای حنان,coffeeshops,tehran,,خیابان رودکی ، بالاتر از تقاطع امام خمینی، پلاک ۲۸۸,02166881730,10-24,0, 0,0,0,"['سیگار', 'قلیان', 'دستگاه کارت خوان']"
کافه 75,coffeeshops,tehran,8.1,میرداماد، میدان محسنی، خیابان شاه نظری، کوچه دوم، پاركينگ راز,02122256876,9:30-23,0, 0,0,0,"['صبحانه', 'پارکینگ', 'سیگار', 'دستگاه کارت خوان']"
بیسترو پاپ,coffeeshops,tehran,8.7,خیابان سمیه، بعد از سپهبد قرنی ، نرسیده به نجات اللهی ، داخل کوچه افشار ، جنب تالار شب طلایی پلاک ۲,02188917683,8-23:30,4, 4,4,4,"['صبحانه', 'موسیقی زنده', 'سیگار', 'فضای باز', 'دستگاه کارت خوان']"
پرواز,coffeeshops,tehran,6.7,سعادت آباد، میدان بهرود، خیابان قمصری، ابتدای ورودی غربی پارک پرواز,02122347301,12-24,0, 0,0,0,"['پارکینگ', 'سیگار', 'فضای باز', 'دستگاه کارت خوان']"
روکوپارک (مرزداران),coffeeshops,tehran,8.5,بلوار مرزداران، نبش خیابان البرز، شماره ۷۱۰,02144384200,12-24,4, 4,4,4,"['اینترنت رایگان', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
تایپ,coffeeshops,tehran,8.2,ایرانشهرشمالی،نبش کلانتری,02188349917,8-24,3, 4,4,3,"['صبحانه', 'سیگار', 'اینترنت رایگان', 'دستگاه کارت خوان']"
ولو پارکو,coffeeshops,tehran,8.1,سعادت آباد، چهار راه سرو،بلوار پيام،انتهاي كوچه شهروند پلاك ٢٠,02122141140,11:30-24,4, 4,4,4,"['موسیقی زنده', 'سیگار', 'قلیان', 'اینترنت رایگان', 'چشم انداز', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
ژوان,coffeeshops,tehran,8.5,سعادت آباد، ابتدای بلوار دریا،نرسیده به صرافها جنوبی،پلاک75,02186128640,7:30-23:30,4, 4,4,4,"['صبحانه', 'پارکینگ', 'سیگار', 'قلیان', 'فضای باز', 'دستگاه کارت خوان']"
چیزفکتوری,coffeeshops,tehran,8.2,اقدسيه،نبش فيروز بخش،مركز خريد اواسنتر,02126455189,12:30-24,3, 4,4,3,"['پارکینگ', 'سیگار', 'فضای باز', 'اینترنت رایگان', 'چشم انداز', 'دستگاه کارت خوان']"
بهدونه,coffeeshops,tehran,,یوسف آباد، نبش شصت و سوم,02188623619,12-24,0, 0,0,0,"['ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
کاروتا,coffeeshops,tehran,9,شهرک غرب،بلواردادمان،بلوار درختی،خیابان سپهرشرقی،پلاک69,02188095083,9-23:30,4, 4,4,4,"['صبحانه', 'موسیقی زنده', 'سیگار', 'فضای باز', 'اینترنت رایگان', 'چشم انداز', 'دستگاه کارت خوان']"
وافل پلاس,coffeeshops,tehran,7.9,آجودانیه،نرسیده با کاشانک،فودکورت عرش آجودانیه,02126131952,10-23,4, 4,3,4,"['صبحانه', 'پارکینگ', 'ارسال رایگان (Delivery)', 'دستگاه کارت خوان']"
بی نام,coffeeshops,tehran,8.3,بزرگراه حکیم غرب، بعد از چهارراه تعاون، کوچه قائم، پلاک ۶,02144958478,11:30-23:30,4, 4,4,3,"['صبحانه', 'پارکینگ', 'سیگار', 'قلیان', 'اینترنت رایگان', 'چشم انداز', 'دستگاه کارت خوان']"
کاخ لیدوما,coffeeshops,tehran,7.7,شهرك غرب،ميدان صنعت،بلوار فرحزادي، پاساژ ليدوما,02186090890,12-24,4, 3,4,3,"['موسیقی زنده', 'پارکینگ', 'سیگار', 'قلیان', 'فضای باز', 'اینترنت رایگان', 'دستگاه کارت خوان']"
باغ کاریز,coffeeshops,tehran,6.3,خيابان شريعتي،خيابان دولت،نبش خيابان نعمتي(كيكاوس)،باغ خانه شاعران ايران,02122617179,8-24,4, 3,4,3,"['صبحانه', 'سیگار', 'فضای باز', 'اینترنت رایگان', 'چشم انداز', 'دستگاه کارت خوان']"
طبیعت VIP,coffeeshops,tehran,8,اتوبان حقانی خیابان شهیدی پارک آب و آتش انتهای پل طبیعت,02188194706,12-24,4, 4,4,4,"['سیگار', 'اینترنت رایگان', 'دستگاه کارت خوان']"
بلک برز,coffeeshops,tehran,8.4,فرشته ، مریم شرقی، خیابان امین ، ساختمان SMP،طبقه اول,02122054167,8:30-23,4, 4,4,3,"['صبحانه', 'اینترنت رایگان', 'دستگاه کارت خوان']"
ولگا,coffeeshops,tehran,6.5,خیابان کریمخان،خیابان سنایی، کوچه اعرابی ۵،پلاک 3,09011388241,10-23,2, 2,2,2,"['موسیقی زنده', 'اینترنت رایگان', 'دستگاه کارت خوان']"
ویند,coffeeshops,tehran,7.2,بلوار مرزداران، بلوار آریافر، روبروی پمپ بنزین، پلاک ۱۷،,02144204149,8-24,3, 3,4,3,"['سیگار', 'اینترنت رایگان', 'چشم انداز', 'دستگاه کارت خوان']"
تراس,coffeeshops,tehran,5.2,بام تهران توچال,,8-24,1, 1,1,1,"['صبحانه', 'سیگار', 'چشم انداز', 'دستگاه کارت خوان']"
لبینا,coffeeshops,tehran,8.8,بلوار اندرزگو،روبروی سه راه قیطریه، نبش شریفی‌منش,02122231285,10-11:45,4, 4,4,3,"['اینترنت رایگان', 'دستگاه کارت خوان']"
عمو بیوک,coffeeshops,tehran,6.8,ستارخان،نبش کوثر دوم،روبروی بانک صادرات پلاک52,02166438641,10-24,4, 4,2,4,['دستگاه کارت خوان']
